aX,aY,aZ,gX,gY,gZ,ts
2.164,0.958,-0.537,54.138,5.066,65.613,1
1.984,0.695,-0.498,47.852,15.93,84.473,1
1.767,0.464,-0.464,31.25,10.315,69.58,1
1.555,0.433,-0.436,25.208,-7.568,35.95,1
1.416,0.249,-0.394,19.409,-30.212,18.555,1
1.287,0.119,-0.362,15.93,-48.828,3.296,1
1.166,0.071,-0.335,17.7,-60.303,-6.775,1
1.08,-0.001,-0.312,17.395,-66.589,-10.986,1
1.052,-0.02,-0.297,14.832,-65.979,-13.611,1
1.002,-0.031,-0.282,10.864,-55.359,-9.583,1
0.939,-0.085,-0.267,4.456,-39.063,-5.066,1
0.87,-0.103,-0.235,-0.793,-24.414,-3.052,1
0.813,-0.122,-0.223,-5.31,-14.954,-1.587,1
0.754,-0.14,-0.206,-8.179,-11.719,-0.549,1
-0.052,1.419,-1.323,370.361,-134.216,-9.094,0
0.195,1.518,-1.464,356.384,-179.016,-38.574,0
0.329,1.656,-1.548,341.003,-212.891,-72.937,0
0.487,1.72,-1.593,322.998,-242.676,-105.286,0
0.653,1.847,-1.596,301.208,-270.264,-144.836,0
0.849,1.911,-1.556,274.963,-288.879,-177.002,0
0.902,1.997,-1.463,248.047,-295.166,-202.454,0
0.919,1.927,-1.259,208.13,-295.959,-219.36,0
1.1,1.973,-1.198,169.006,-300.598,-244.507,0
1.063,1.834,-1.033,149.719,-300.049,-224.182,0
1.096,1.519,-0.927,127.258,-309.204,-230.103,0
1.112,1.504,-0.812,125.244,-315.247,-253.052,0
1.01,1.489,-0.669,119.873,-335.693,-243.042,0
0.993,1.126,-0.585,101.746,-359.985,-241.15,0
1.067,0.877,-0.513,100.83,-371.216,-279.907,0
1.162,0.91,-0.428,120.483,-369.751,-321.289,0
1.096,0.948,-0.334,134.338,-362.915,-340.881,0
1.045,0.913,-0.26,137.329,-356.323,-348.328,0
1.027,0.803,-0.205,134.277,-347.351,-353.088,0
1.093,0.66,-0.585,129.944,-336.914,-373.413,0
0.919,0.584,0.109,140.93,-338.623,-404.419,0
1.133,0.707,0.01,163.452,-292.358,-418.823,0
0.901,0.899,-0.018,158.081,-262.939,-424.072,0
0.777,0.763,-0.032,126.587,-251.038,-428.955,0
0.682,0.453,-0.085,101.501,-257.568,-443.298,0
0.582,0.404,-0.135,83.618,-280.396,-452.087,0
0.485,0.35,-0.149,62.927,-288.818,-455.261,0
0.279,0.226,-0.142,45.837,-292.908,-449.768,0
0.171,0.153,-0.197,40.588,-295.898,-430.603,0
0.258,0.064,-0.29,39.368,-295.837,-408.02,0
0.367,0.01,-0.265,39.307,-292.358,-393.921,0
0.353,0.09,-0.158,31.921,-280.09,-392.212,0
0.207,0.143,-0.045,11.23,-256.348,-394.836,0
0.143,0.134,0.019,-13.428,-235.657,-390.564,0
0.019,0.093,-0.013,-37.72,-227.905,-385.864,0
-0.057,0.072,-0.031,-60.059,-234.68,-376.221,0
-0.015,0.057,-0.042,-78.552,-244.568,-358.093,0
-0.053,-0.005,-0.048,-97.29,-250.671,-346.985,0
-0.092,-0.024,-0.068,-112.549,-251.709,-337.097,0
-0.084,-0.057,-0.065,-124.512,-247.131,-322.693,0
-0.088,-0.039,-0.043,-132.202,-239.197,-313.293,0
-0.139,0.068,-0.026,-142.029,-226.807,-305.115,0
-0.266,0.103,0.083,-164.307,-205.933,-299.5,0
-0.444,0.043,0.205,-187.317,-187.256,-296.814,0
-0.521,0.019,0.241,-196.655,-185.669,-287.72,0
-0.508,0.068,0.28,-199.951,-199.463,-273.315,0
-0.515,0.084,0.307,-203.674,-217.102,-259.888,0
-0.446,0.171,0.411,-208.496,-230.408,-245.911,0
-0.359,0.223,0.583,-223.328,-220.459,-231.201,0
-0.406,0.211,0.743,-246.155,-178.284,-216.37,0
-0.443,0.102,0.95,-267.395,-127.38,-190.796,0
-0.493,-0.016,1.164,-268.066,-78.43,-159.729,0
-0.58,-0.067,1.42,-246.216,-40.161,-128.479,0
-0.593,-0.099,1.573,-213.074,-26.428,-96.619,0
-0.545,0.045,1.704,-172.668,-31.982,-77.148,0
-0.618,0.335,1.84,-141.418,-44.006,-72.937,0
-0.608,0.591,2.012,-137.573,-52.673,-75.073,0
-0.58,0.71,2.26,-157.959,-39.429,-75.806,0
-0.528,0.722,2.564,-180.054,-8.24,-73.547,0
-0.535,0.53,2.896,-180.908,32.898,-60.852,0
-0.581,0.315,3.022,-145.996,73.364,-58.533,0
-0.52,0.295,2.974,-74.768,105.225,-63.782,0
-0.435,0.339,2.839,3.235,135.193,-53.711,0
-0.284,0.42,2.628,62.439,162.415,-43.213,0
-0.093,0.384,2.429,98.816,196.411,-36.682,0
0.085,0.407,2.208,117.371,228.821,-40.1,0
0.205,0.309,1.965,121.765,266.296,-45.288,0
0.244,0.317,1.82,115.234,312.744,-60.425,0
0.257,0.337,1.664,107.544,342.896,-77.026,0
0.455,0.125,1.514,97.778,375.244,-85.876,0
0.431,0.176,1.381,93.506,410.583,-108.398,0
0.472,0.205,1.289,92.59,446.411,-125.549,0
0.456,0.214,1.132,87.524,467.651,-149.597,0
0.458,0.285,0.965,79.59,489.319,-171.143,0
0.371,0.243,0.853,62.561,500.122,-184.692,0
0.299,0.089,0.763,45.776,494.385,-201.782,0
0.191,0.062,0.732,38.391,482.544,-236.511,0
0.124,0.143,0.695,40.527,461.975,-255.92,0
0.109,0.179,0.647,35.706,428.772,-264.16,0
0.078,0.167,0.563,25.269,398.254,-266.602,0
0.025,0.072,0.593,15.564,370.544,-263.855,0
-0.07,-0.043,0.462,12.817,363.403,-257.446,0
-0.334,-0.044,0.282,14.709,350.769,-237.305,0
-0.423,-0.224,0.276,4.944,314.941,-212.708,0
-0.513,-0.306,0.268,-0.916,282.532,-177.856,0
-0.633,-0.397,0.237,0.366,234.863,-141.235,0
-0.617,-0.417,0.173,11.597,175.842,-104.736,0
-0.546,-0.429,0.136,30.396,124.023,-65.125,0
-0.424,-0.462,0.116,55.786,86.243,-25.635,0
-0.36,-0.346,0.102,81.177,59.814,8.118,0
-0.302,-0.288,0.059,90.698,47.058,36.621,1
-0.265,-0.202,-0.017,87.646,44.861,63.11,1
-0.168,-0.281,-0.086,77.148,57.617,87.952,1
0.062,-0.271,-0.145,56.58,90.332,99.548,1
-0.027,-0.509,-0.135,43.274,137.756,124.39,1
0.096,-0.388,-0.061,31.006,178.04,88.44,1
-0.187,0.007,-0.202,29.541,194.763,110.535,1
0.133,-0.204,-0.166,6.653,217.712,173.645,1
0.128,-0.282,-0.175,-4.456,212.891,197.327,1
0.228,-0.368,-0.193,1.343,170.898,162.537,1
0.679,0.418,-0.285,28.625,92.773,146.179,1
1.01,0.24,-0.266,18.677,32.227,160.583,1
1.579,0.346,-0.148,11.292,-23.743,154.236,1
2.111,0.637,-0.103,15.198,-52.063,143.188,1
2.441,0.489,0.049,14.404,-35.4,139.099,1
2.516,0.594,0.134,16.052,-3.784,110.718,1
2.37,0.689,0.14,20.935,35.278,85.144,1
2.211,0.563,0.113,21.24,61.34,74.402,1
1.961,0.525,0.098,24.17,71.167,60.12,1
1.808,0.344,0.056,25.391,51.88,43.091,1
1.633,0.491,-0.067,26.978,26.123,22.583,1
1.477,0.1,-0.024,20.752,15.015,21.729,1
1.331,0.008,-0.045,15.991,-0.122,-7.935,1
1.217,0.266,-0.069,24.475,-9.46,-11.719,1
1.103,0.044,-0.072,9.338,-15.991,13.611,1
1.017,-0.198,-0.051,-1.282,-13.55,28.687,1
0.993,-0.141,-0.044,1.282,-15.381,10.803,1
0.924,-0.111,-0.05,4.028,-13.306,-4.517,1
0.889,-0.093,-0.04,1.892,-9.583,-5.798,1
-0.095,1.139,-1.666,265.381,32.532,-49.805,0
-0.09,1.116,-1.778,243.286,-9.827,-61.707,0
-0.112,1.14,-1.864,239.441,-52.063,-69.824,0
