aX,aY,aZ,gX,gY,gZ,ts
-0.126,-0.389,-0.037,-127.563,-74.585,-125.61,1
-0.146,-0.377,-0.008,-129.211,-77.026,-115.967,1
-0.183,-0.387,0.036,-132.812,-80.322,-108.215,1
-0.2,-0.389,0.079,-136.292,-85.754,-102.051,1
-0.211,-0.392,0.119,-140.381,-92.041,-97.351,1
-0.236,-0.372,0.165,-145.813,-98.022,-93.262,1
-0.241,-0.346,0.235,-153.748,-102.356,-89.417,1
-0.238,-0.346,0.309,-163.452,-102.966,-84.473,1
-0.238,-0.354,0.379,-171.936,-97.473,-77.637,1
-0.223,-0.344,0.453,-177.063,-85.449,-67.993,1
-0.229,-0.34,0.513,-181.396,-67.932,-56.091,1
-0.245,-0.327,0.583,-184.387,-47.363,-41.748,1
-0.274,-0.324,0.65,-186.035,-27.954,-24.963,1
-0.284,-0.289,0.747,-186.218,-12.695,-6.592,1
-0.299,-0.294,0.819,-186.401,-5.859,9.644,1
-0.308,-0.26,0.906,-184.265,-2.258,23.499,1
-0.353,-0.249,0.981,-181.763,-5.371,37.415,1
-0.352,-0.273,1.052,-175.842,-16.296,52.063,1
-0.319,-0.25,1.095,-164.734,-33.508,64.392,1
-0.312,-0.179,1.169,-152.1,-49.561,78.369,1
-0.278,-0.146,1.246,-143.616,-63.11,94.238,1
-0.177,-0.177,1.316,-136.536,-73.12,107.117,1
-0.15,-0.169,1.354,-126.343,-78.857,106.934,1
-0.123,-0.092,1.399,-114.014,-75.623,105.286,1
-0.08,-0.072,1.429,-106.384,-69.946,107.971,1
-0.062,-0.052,1.454,-100.647,-64.209,114.441,1
-0.091,-0.019,1.486,-96.375,-57.129,122.314,1
0,-0.09,1.586,-92.529,-52.368,132.324,1
-0.105,0.011,1.671,-88.684,-52.673,144.714,1
0.021,-0.093,1.673,-80.75,-63.721,147.095,1
-0.044,0.088,1.646,-69.031,-65.43,150.757,1
-0.091,0.069,1.719,-67.505,-68.115,164.246,1
-0.023,-0.016,1.745,-67.2,-88.074,174.133,1
-0.008,0.092,1.671,-59.021,-96.436,180.237,1
0.098,-0.109,1.741,-48.462,-89.294,190.002,1
0.101,0.01,1.674,-31.189,-92.041,180.542,1
0.152,0.096,1.666,-15.991,-82.764,194.275,1
0.169,-0.003,1.646,-15.076,-75.256,203.247,1
0.117,-0.024,1.66,-7.202,-67.322,205.2,1
0.109,0.045,1.6,3.601,-74.341,205.2,1
0.109,0.052,1.578,7.385,-75.745,209.717,1
0.078,0.031,1.543,7.263,-83.435,213.684,1
0.095,-0.012,1.51,10.803,-93.811,212.83,1
0.081,0.017,1.455,19.165,-102.173,211.304,1
0.176,0.081,1.383,28.87,-108.215,207.336,1
0.192,0.13,1.338,33.569,-104.919,216.309,1
0.214,0.025,1.278,30.884,-99.792,215.454,1
0.237,0.14,1.222,39.001,-90.332,209.717,1
0.185,0.233,1.173,38.879,-79.712,217.651,1
0.208,0.084,1.142,28.442,-72.327,219.849,1
0.181,0.159,1.104,28.625,-63.843,215.454,1
0.22,0.177,1.059,28.137,-56.274,214.355,1
0.25,0.179,1.017,25.635,-47.424,214.783,1
0.253,0.185,0.992,23.437,-37.964,209.961,1
0.257,0.23,0.97,21.606,-32.41,205.017,1
0.274,0.21,0.943,16.541,-29.175,203.613,1
0.305,0.187,0.916,13.855,-27.1,197.998,1
0.333,0.275,0.891,13.55,-24.048,196.838,1
0.382,0.227,0.886,7.385,-18.616,196.106,1
0.443,0.196,0.901,3.662,-13.855,186.951,1
0.545,0.332,0.887,2.991,-8.362,175.293,1
0.664,0.316,0.881,-4.517,2.686,175.232,1
0.752,0.246,0.892,-12.634,22.766,167.053,1
0.742,0.29,0.889,-12.512,41.443,158.447,1
0.741,0.271,0.898,-15.076,56.091,151.611,1
0.733,0.239,0.885,-18.921,62.012,144.653,1
0.724,0.219,0.884,-22.4,63.599,135.315,1
0.687,0.178,0.91,-25.146,60.059,124.207,1
0.708,0.135,0.875,-25.024,48.95,115.051,1
0.71,0.039,0.947,-20.508,48.096,96.741,1
0.612,0.095,0.909,-10.071,38.269,76.477,1
0.594,0.132,0.89,-3.052,29.358,58.716,1
0.578,0.114,0.863,-1.16,21.057,43.945,1
1.537,0.721,-0.542,61.34,-1.77,-56.946,0
1.613,0.744,-0.535,56.03,-7.996,-68.848,0
1.692,0.749,-0.562,53.04,-9.888,-81.177,0
1.697,0.753,-0.6,54.688,-9.705,-92.651,0
1.74,0.725,-0.657,59.57,-11.108,-104.248,0
1.748,0.716,-0.717,64.941,-16.907,-116.333,0
1.683,0.714,-0.714,64.575,-24.963,-130.371,0
1.634,0.678,-0.709,56.213,-34.302,-145.63,0
1.569,0.638,-0.663,44.373,-39.001,-159.363,0
1.534,0.583,-0.621,35.522,-39.001,-169.8,0
1.512,0.553,-0.616,31.372,-36.926,-177.551,0
1.457,0.524,-0.616,28.259,-35.095,-184.57,0
1.392,0.5,-0.6,21.851,-33.63,-193.054,0
1.245,0.44,-0.533,10.559,-30.457,-203.491,0
1.196,0.378,-0.477,2.075,-27.649,-211.426,0
