aX,aY,aZ,gX,gY,gZ,ts
0.952,0.769,-0.24,288.818,-20.264,377.686,0
0.998,0.907,-0.13,245.85,-51.941,307.861,0
1.092,0.958,-0.05,190.735,-84.717,243.713,0
1.297,0.955,-0.056,132.141,-115.112,197.754,0
1.454,0.956,-0.076,77.332,-121.948,159.363,0
1.49,0.902,-0.032,19.775,-102.783,119.812,0
1.509,0.756,0.033,-36.621,-75.317,80.2,0
1.529,0.643,0.087,-78.674,-42.969,48.096,0
1.48,0.532,0.118,-105.713,-6.042,21.423,0
1.376,0.397,0.137,-119.202,24.536,3.296,0
1.256,0.235,0.128,-122.559,42.786,-14.038,0
1.214,0.156,0.11,-108.032,50.049,-24.414,0
1.15,0.048,0.102,-85.205,51.575,-24.841,0
1.12,-0.011,0.08,-52.551,44.006,-10.742,0
1.131,-0.023,0.051,-23.01,29.48,-1.831,0
1.131,-0.043,0.033,-4.028,15.259,3.845,0
1.132,-0.097,0.026,8.362,4.578,9.277,0
1.115,-0.118,0.025,21.179,-3.296,14.343,0
1.112,-0.132,0.027,31.25,-9.094,16.785,0
1.12,-0.136,0.023,36.621,-12.878,16.846,0
1.104,-0.131,0.019,37.17,-13.55,15.198,0
1.085,-0.136,0.023,34.363,-11.963,16.113,0
1.065,-0.171,0.02,29.114,-10.437,17.151,0
1.101,-0.224,0.005,24.048,-10.193,13.367,0
1.143,-0.11,-0.041,23.01,-8.484,10.315,0
1.001,-0.289,0.016,17.212,-0.732,6.348,0
1.084,-0.137,-0.039,14.587,4.211,-7.385,0
1.008,-0.222,-0.041,10.62,12.878,-12.024,0
0.943,-0.075,-0.045,8.179,20.569,-11.78,0
0.942,-0.228,-0.044,1.709,21.301,-1.038,0
0.979,-0.205,-0.075,-3.479,18.311,-4.456,0
0.943,-0.205,-0.067,-2.93,19.104,-7.019,0
1.615,0.927,-0.144,-7.935,-88.562,113.403,0
1.539,1.055,-0.123,-6.47,-59.265,72.571,0
1.467,1.141,-0.1,-10.742,-38.879,33.386,0
1.44,1.174,-0.099,-18.982,-30.09,-0.244,0
1.359,1.191,-0.074,-27.1,-27.1,-26.062,0
1.31,1.239,0.007,-30.212,-25.391,-46.936,0
1.368,1.196,0.037,-36.438,-30.334,-68.665,0
1.391,1.146,0.047,-45.41,-40.039,-88.684,0
1.413,1.155,0.083,-45.532,-41.504,-104.858,0
1.43,1.198,0.132,-44.556,-35.034,-122.07,0
1.408,1.197,0.157,-44.128,-28.32,-138.062,0
1.4,1.187,0.152,-41.443,-23.132,-155.64,0
1.381,1.163,0.165,-36.865,-17.822,-172.546,0
1.351,1.132,0.177,-32.532,-13.55,-189.026,0
1.269,1.075,0.193,-29.297,-11.292,-204.163,0
1.202,1.062,0.206,-25.574,-12.085,-219.543,0
1.147,1.079,0.224,-19.531,-16.602,-234.375,0
1.119,1.075,0.214,-17.517,-24.841,-251.099,0
1.108,1.031,0.222,-19.775,-33.813,-270.935,0
1.183,0.944,0.255,-23.071,-37.292,-293.823,0
1.216,0.883,0.282,-22.156,-27.832,-316.162,0
1.211,0.853,0.293,-20.569,-6.958,-341.797,0
