aX,aY,aZ,gX,gY,gZ,ts
0.658,-0.172,0.922,7.385,26.794,-6.47,0
0.592,-0.168,0.891,7.141,34.424,-10.498,0
0.575,-0.13,0.838,6.47,35.156,-12.207,0
0.545,-0.175,0.823,2.441,32.654,-10.681,0
0.515,-0.225,0.804,0.854,22.034,-12.085,0
0.533,-0.221,0.792,5.493,12.451,-15.503,0
0.539,-0.182,0.767,8.24,0.61,-13.245,0
0.592,-0.19,0.749,6.897,-3.967,-0.854,0
0.58,-0.251,0.739,3.784,-2.686,5.31,0
0.593,-0.21,0.733,7.385,0.183,3.296,0
0.58,-0.23,0.711,9.949,5.188,-0.427,0
0.579,-0.164,0.7,11.78,12.207,-3.296,0
0.533,-0.182,0.695,7.385,18.066,-3.845,0
0.499,-0.185,0.701,2.563,19.409,-4.944,0
0.469,-0.19,0.699,-1.282,15.137,-5.249,0
0.478,-0.193,0.704,-4.517,8.179,-4.211,0
0.481,-0.225,0.714,-7.507,1.099,-0.793,0
0.506,-0.251,0.729,-7.446,-4.517,2.869,0
0.531,-0.252,0.728,-3.54,-8.24,5.127,0
0.551,-0.234,0.725,1.343,-8.789,6.653,0
0.549,-0.24,0.723,4.089,-7.446,8.301,0
1.86,0.888,-0.087,119.08,-152.649,-35.645,0
1.892,0.885,-0.035,103.149,-156.494,-60.852,0
1.909,0.842,0.062,81.604,-151.917,-86.304,0
